Tax year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
     Other receipts,1680362,NaN,NaN,3900968,NaN,5535192,6914777,8881168,8701692,11329715,11607558,13989833,18264316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
   Total deductions,140679959,NaN,NaN,204745300,NaN,283749460,274864690,304004833,293928744,378692535,376000991,414673405,423498884,464991155,475433817,493468105,490432721,513276112,554772390,647522965,753845785,912722215,1156922964,1386111725,1647491152,2099471504,2348244173,2455848170,2567688119,2815180739,3244612319,3555849670,3555849670,4590182624,3748565614,4026378206,4531982601,4689190348,5061753548,5162594042,4915397618,4981480470,5591329131,6055822095,5611453035,6225702711,7111034417,8365174008
      Cost of goods sold,64672843,NaN,NaN,87217203,NaN,113885668,130043609,144595111,125330745,180857822,146315315,164167707,237156859,252590549,232797570,242448195,236500500,248626073,272502902,335144653,395322385,486257935,625197285,737235839,902157018,1225628897,1338114656,1430213629,1522806503,1666146493,1975816361,2108966781,2108966781,2717033028,2054661677,2335999179,2731677851,2827546739,3086677980,3065992261,2695613646,2660228603,3011968907,3343267462,2878254035,3255992777,3846985340,4758754037
"       Inventory, beginning of year",7667585,NaN,NaN,NaN,NaN,13255671,16141130,25307927,NaN,41480731,25442509,24831895,28361810,37216939,41302678,42868069,43652870,42973268,46659746,46602083,54702293,60401434,70441911,87546927,95687355,112799938,128324181,175335232,142614381,154642984,183499132,215719281,215719281,278201115,270959003,249741778,250076875,262415671,267727307,292403115,291139488,299870537,329035539,334150156,317773547,384177586,364654545,417421630
       Purchases,42608734,NaN,NaN,NaN,NaN,70439607,92136914,96111197,NaN,100358781,91925923,100010383,167977884,173024428,137011049,140521621,134086152,150034393,163167689,210803531,256546960,321340188,427050241,461144704,585068938,797038243,887515286,903589600,987652150,1130541265,1328185749,1412030108,1412030108,1844775281,1389292787,1613898628,1976008984,2029823293,2256721854,2207221054,1884856950,1852866663,2084429237,2367367406,1947050485,2205968929,2767119019,3279771433
       Cost of labor,4585836,NaN,NaN,NaN,NaN,7015547,5835683,7183865,NaN,7826231,8845106,9789253,9975053,11535738,13378307,13924993,14188250,14826792,16208644,18528257,20080458,22890832,28794257,33411962,42089216,46714175,53029403,58736031,63434283,67483580,80010457,91460084,91460084,113546251,100075751,105454543,113840087,127120016,137000237,148468563,154316206,157223744,167570200,180398126,182557305,202508740,212289664,258584088
       Materials and supplies,3321427,NaN,NaN,NaN,NaN,5603874,6161003,6549014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
       Additional inventory costs (Section 283A),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1265482,1497345,2327873,2416391,2480289,2613430,3107862,3992791,4549020,5537922,7603756,7916276,8870107,8521473,10498054,12337529,13314217,17784635,21841617,19706569,19706569,16839442,14702790,14052892,12638235,15901153,15959197,16654461,16899796,14587234,17628083,22676595,21000598,24673427,23791735,31987328
       Other costs,14641288,NaN,NaN,NaN,NaN,32260929,32435993,32147879,NaN,70638082,47380973,57000019,61270873,65539407,76889047,83210972,81294468,81737431,89417903,103941827,117877969,142196666,171093990,242604643,281530830,386508986,394187103,418483634,467575762,480674356,588093699,626794373,626794373,744413006,530951167,606159347,644144846,666736558,696943112,703725166,649265349,659888290,761277666,802742121,742520136,821966625,900246099,1248599863
"       Less:  inventory, end of year",8152127,NaN,NaN,NaN,NaN,14689960,22667114,22704771,NaN,39446014,27279196,27463816,31659239,41105534,44593538,45271389,42804203,46261566,48878070,50754489,60813341,69912625,84813771,99669214,115689924,129428537,138604738,142329934,153053073,186762966,228775948,259131558,259131558,284783978,251319822,253308009,265031176,274449952,287673727,302480098,305950278,324207866,347971819,364066943,332648035,383302529,421115723,477610305
